FD0205001;Горошек консервированный;19134;GREEN RAY Горошек зеленый ж/б 425мл;69.9;47
FD0205004;Кукуруза консервированная;19152;GREEN RAY Кукуруза деликатесная ж/б425мл;77.9;25
FD0205008;Перец консерванный, лечо;19164;GREEN RAY Лечо натуральное ст/б 720мл;125;18
FD0220005;Соусы фрукт, ягодные;19247;DARBO Соус ДИК.БРУСН.с/б  400г;399;7
FD0211001;Макаронные изделия;19444;3 GL.Макароны DMI звезд.мелк.  250г;99.9;16
FD0611001;Батончики шоколадные;19578;NUTS  Конфета 50г;45.9;37
FD0802002;Питьевая вода;19593;Вода PERRIER мин.прир.пит.стол.газ.0.75л;195;15
FD0802002;Питьевая вода;19596;Вода ВИТТЕЛЬ минеральная б/г 0.33л;85.9;23
FD0211002;Спагетти;19615;MALTAGL.Изд.мак.CAPELLINI   500г;93.9;22
FD0220005;Соусы фрукт, ягодные;19918;КИНТО Соус НАРШАРАБ        380г;309;9
FD0603001;Жевательная резинка;20041;WRIGLEY Жев.рез.ECLI.Лед.св. 13,6г;41.9;175
FD0205011;Фасоль консервированная;20062;BONDUELL Фасоль бел.КЛАССИЧЕСК.ж/б 425мл;84.9;12
FD0205011;Фасоль консервированная;20063;BONDUELL Фасоль КЛАССИЧ.крас.ж/б 425мл;93.9;23
FD0802002;Питьевая вода;20388;Вода СВЯТ.ИСТОЧН.прир.пит.газ.1.5л;39.9;17
FD0802002;Питьевая вода;20389;Вода СВЯТОЙ ИСТОЧНИК газ.  0.5л;29.9;15
FR0609005;Сырки глазированные;20615;РОСТ.Сырок диет.в шок.гл. ВАНИЛЬ 5% 45г;19.9;30
FD0802001;Минеральная вода;20676;Вода НАРЗАН минерал.прир.газации 1л;71.9;4
FD0803002;Напитки сл. безалк.;20843;Напиток ТАРХУН    1.0л;94.9;9
FD0803002;Напитки сл. безалк.;20850;Напиток БАЙКАЛ    1.0л;94.9;8
FD0805002;Соки,нектары в пак.;20871;Нектар J-7 ВИШНЕВЫЙ        0.2л;57.9;13
FD0220012;Горчица;21001;KUHNE Горчица РОТИССЕР зернистая 250мл;259;5
FR0606002;Сыры плавленые;21004;HOCHL.Сыр пл.ломт.ЧИЗБ.45%150г;91.9;12
FD0205007;Огурцы консервировавнные;21031;KUHNE Корнишоны 330г;299;9
FD0220013;Хрен;21051;KUHNE Хрен сливочный 250г;279;4
FR0604002;Молоко стерилизов.;21112;МОЖАЙСКОЕ Молоко стер.2,5% 0.45л;84.9;13
FR0907002;Ягоды;21151;Малина свежая 125г;209;1
FD0804001;Пиво импортное;21286;Пиво KROMBACH.св.4,8% ж/б 0.5л;145;17
FD0205001;Горошек консервированный;21306;BOND.Горош. с морковк.ж/б 200г;83.9;5
FD0805002;Соки,нектары в пак.;21435;С.ПРИД.Сок дет.абрик./ябл.с мяк.1л;99.99;12
FD0606005;Наборы конфет;21473;TOFFIFEE Конфеты 125г;209;127
FD0212003;Масло подсолнечное;21676;СЛОБОДА Масло подсол.раф.дез.в/с 1л;104.9;47
FD0804001;Пиво импортное;21954;Пиво WARSTEIN.PREM.BEER св.4,8% ж/б 0.5л;99.9;13
FD0606005;Наборы конфет;22245;MERCI Наб.кон.шок.ассорт.с нач.и б/н250г;419;62
FD0606005;Наборы конфет;22246;MERCI Наб.кон.из тем.шок.с нач.и б/н250г;419;54
FD0606005;Наборы конфет;22247;MERCI Наб.кон.из мол.шок.с нач.и б/н250г;419;29
FD0606005;Наборы конфет;22248;MERCI Наб.кон.шок.ассорт.с нач.и б/н400г;829;25
FD0221006;Универсальные;23056;MAGGI Букет приправ 75г;41.9;22
FD0212003;Масло подсолнечное;23714;ОЛЕЙНА Масло подс.раф/дезод.1с 1л;119;41
FD0210008;Хлопья зерновые;23772;РУС.ПРОД.Хлопья ГЕРКУЛЕС овсяные 420г;71.9;10
FD0216008;Супы сухие для варки;23775;MAGGI Суп КУРИНЫЙ с вермишелью 50г;26.9;23
FD0703003;Сухой корм для кошек;23881;ФРИСК.Корм д/взш.ко.мяс.кур.овощ.сух400г;83.9;6
FR0604006;Растительные напитки;23984;Напиток кокосовый с рисом обогащенный ка;329;7
FD0211001;Макаронные изделия;24104;PASTA ZARA Изд.мак.FARF.№31гр.А в/с 500г;129;14
FD0211001;Макаронные изделия;24111;PASTA ZARA Изд.мак.TAGL.№204 тв.пш.500г;175;13
FR0606002;Сыры плавленые;24127;HOCHL.Сыр СЛИВОЧ.плавл.паст.55% круг140г;91.9;17
FR0606002;Сыры плавленые;24145;HOCHL.Сыр пл.-тост С ВЕТ.ломт.45%150г;91.9;8
FD0804001;Пиво импортное;24149;Пиво RADEBERGER PILSN.св.4,8% ст/б 0.5л;195;19
FD0603001;Жевательная резинка;24276;ORBIT Жев.рез.СОЧНЫЙ АРБУЗ 13,6г;35.9;98
FD0211002;Спагетти;24343;PASTA ZARA Изд.мак.CAPPEL.№1гр.А в/с500г;93.9;18
FR0606005;Сыры твердые, п/тв.;24647;Сыр Пармезан 32% 175г фасЧиз Гелери;289;6
FD0204002;Говядина тушеная;24661;ГЛАВПРОДУКТ Говядина тушеная, в/с 338г;175;35
FD0606005;Наборы конфет;24705;FERRERO Конфеты ROCHER хрус.мол.шок.200г;489;45
FD0210006;Рис;24754;АНГСТР.Рис ОТБОРНЫЙ дл/зерн.900г;165;12
FD0210008;Хлопья зерновые;24926;Геркулес ЭКСТРА карт.упак. 1кг;135;15
FR0906003;Корнеплоды;25180;Редис красный 500г;87.9;2
FD0611002;Шоколад плиточный;25448;TOBLERONE Шоколад мол.с мед/минд.нуг100г;249;33
FD0603001;Жевательная резинка;25586;ORBIT Жев.рез.КЛАССИЧЕСКИЙ для детей;37.9;175
FR0701005;Колбасы п/к;25707;Колбаса Краковская пк ву 400г МДБ;369;5
FD0222004;Сухие завтраки;25813;NEST.Хлопья GOLD кукур.мед/арахис300г;175;10
FD0212002;Масло оливковое;25931;COSTA D ORA Масло олив.хол.пр.0.5л;509;5
FD0605003;Рулеты;26037;Рулет с маковой начинкой   400г;175;8
FD0605003;Рулеты;26052;Рулет с шоколадной начинкой400г;175;24
FR0604002;Молоко стерилизов.;26313;ДОМ.В ДЕР.Молоко 3,5% т/п 200г;35.9;15
FD0209006;Кофе растворимый;26763;JACOBS Кофе MON.раст.ст/б 47,5г;249;6
FD0209006;Кофе растворимый;26764;JACOBS Кофе MON.раст.ст/б 95г;299;68
